crate	Apache-2.0	Apache-2.0 WITH LLVM-exception	BSD-2-Clause	BSD-3-Clause	BSL-1.0	LGPL-2.1-or-later	MIT	Unicode-3.0	Unlicense	Zlib
aho-corasick@1.1.5							X		X	
anstream@1.0.0	X						X			
anstyle@1.0.14	X						X			
anstyle-parse@1.0.0	X						X			
anstyle-query@1.1.5	X						X			
anstyle-wincon@3.0.11	X						X			
atomic-waker@1.1.2	X						X			
axum@0.8.9							X			
axum-core@0.5.6							X			
base64@0.22.1	X						X			
bitflags@2.13.1	X						X			
bumpalo@3.20.3	X						X			
bytes@1.12.1							X			
cfg-if@1.0.4	X						X			
clap@4.6.6	X						X			
clap_builder@4.6.6	X						X			
clap_derive@4.6.4	X						X			
clap_lex@1.1.0	X						X			
colorchoice@1.0.5	X						X			
crossbeam-epoch@0.9.20	X						X			
crossbeam-utils@0.8.22	X						X			
equivalent@1.0.2	X						X			
errno@0.3.14	X						X			
fluss-gateway@1.0.0	X									
foldhash@0.2.0										X
futures-channel@0.3.34	X						X			
futures-core@0.3.34	X						X			
futures-macro@0.3.34	X						X			
futures-sink@0.3.34	X						X			
futures-task@0.3.34	X						X			
futures-util@0.3.34	X						X			
getrandom@0.3.4	X						X			
getrandom@0.4.3	X						X			
hashbrown@0.16.1	X						X			
hashbrown@0.17.1	X						X			
heck@0.5.0	X						X			
http@1.5.0	X						X			
http-body@1.1.0							X			
http-body-util@0.1.5							X			
httparse@1.10.1	X						X			
httpdate@1.0.3	X						X			
hyper@1.11.0							X			
hyper-util@0.1.20							X			
indexmap@2.14.0	X						X			
ipnet@2.12.1	X						X			
is_terminal_polyfill@1.70.2	X						X			
itoa@1.0.18	X						X			
js-sys@0.3.104	X						X			
libc@0.2.189	X						X			
log@0.4.33	X						X			
matchit@0.8.4				X			X			
memchr@2.8.3							X		X	
metrics@0.24.6							X			
metrics-exporter-prometheus@0.17.2							X			
metrics-util@0.20.4							X			
mime@0.3.17	X						X			
mio@1.2.2							X			
once_cell@1.21.4	X						X			
once_cell_polyfill@1.70.2	X						X			
paste@1.0.15	X						X			
percent-encoding@2.3.2	X						X			
pin-project-lite@0.2.17	X						X			
portable-atomic@1.15.0	X						X			
ppv-lite86@0.2.21	X						X			
proc-macro2@1.0.107	X						X			
quanta@0.12.6							X			
quote@1.0.47	X						X			
r-efi@5.3.0	X					X	X			
r-efi@6.0.0	X					X	X			
rand@0.9.5	X						X			
rand_chacha@0.9.0	X						X			
rand_core@0.9.5	X						X			
rand_xoshiro@0.7.0	X						X			
rapidhash@4.5.1	X						X			
raw-cpuid@11.6.0							X			
regex@1.13.1	X						X			
regex-automata@0.4.18	X						X			
regex-syntax@0.8.11	X						X			
rustversion@1.0.23	X						X			
ryu@1.0.23	X				X					
serde@1.0.229	X						X			
serde_core@1.0.229	X						X			
serde_derive@1.0.229	X						X			
serde_json@1.0.151	X						X			
serde_path_to_error@0.1.20	X						X			
serde_yaml_ng@0.10.0							X			
signal-hook-registry@1.4.8	X						X			
sketches-ddsketch@0.3.1	X									
slab@0.4.12							X			
smallvec@1.15.2	X						X			
socket2@0.6.5	X						X			
strsim@0.11.1							X			
syn@2.0.119	X						X			
syn@3.0.3	X						X			
sync_wrapper@1.0.2	X									
thiserror@2.0.20	X						X			
thiserror-impl@2.0.20	X						X			
tokio@1.53.1							X			
tokio-macros@2.7.2							X			
tokio-util@0.7.19							X			
tower@0.5.3							X			
tower-layer@0.3.3							X			
tower-service@0.3.3							X			
tracing@0.1.44							X			
tracing-core@0.1.36							X			
try-lock@0.2.5							X			
unicode-ident@1.0.24	X						X	X		
unsafe-libyaml@0.2.11							X			
utf8parse@0.2.2	X						X			
utoipa@5.5.0	X						X			
utoipa-axum@0.2.0	X						X			
utoipa-gen@5.5.0	X						X			
uuid@1.24.0	X						X			
want@0.3.1							X			
wasi@0.11.1+wasi-snapshot-preview1	X	X					X			
wasip2@1.0.1+wasi-0.2.4	X	X					X			
wasm-bindgen@0.2.127	X						X			
wasm-bindgen-macro@0.2.127	X						X			
wasm-bindgen-macro-support@0.2.127	X						X			
wasm-bindgen-shared@0.2.127	X						X			
web-sys@0.3.104	X						X			
winapi@0.3.9	X						X			
winapi-i686-pc-windows-gnu@0.4.0	X						X			
winapi-x86_64-pc-windows-gnu@0.4.0	X						X			
windows-link@0.2.1	X						X			
windows-sys@0.61.2	X						X			
wit-bindgen@0.46.0	X	X					X			
zerocopy@0.8.56	X		X				X			
zmij@1.0.23							X			
